Name,Index
2018-01-05,816.58
2018-01-12,839.72
2018-01-19,840.36
2018-01-26,858.6
2018-02-02,883.59
2018-02-09,871.76
2018-02-16,867.16
2018-02-23,854.19
2018-03-02,772.45
2018-03-09,729.49
2018-03-16,675.46
2018-03-23,646.59
2018-03-30,658.68
2018-04-06,654.17
2018-04-13,659.74
2018-04-20,674.58
2018-04-27,760.67
2018-05-04,776.88
2018-05-11,778.83
2018-05-18,753.83
2018-05-25,764.34
2018-06-01,829.09
2018-06-08,806.04
2018-06-15,777.7
2018-06-22,751.13
2018-06-29,821.18
2018-07-06,817.4
2018-07-13,825.57
2018-07-20,793.76
2018-07-27,863.59
2018-08-03,890.52
2018-08-10,893.88
2018-08-17,891.83
2018-08-24,901.66
2018-08-31,939.48
2018-09-07,921.36
2018-09-14,909.74
2018-09-21,890.21
2018-09-28,870.58
2018-10-05,887.545
2018-10-12,904.51
2018-10-19,926.25
2018-10-26,956.63
2018-11-02,976.52
2018-11-09,961.88
2018-11-16,951.57
2018-11-23,903.9
2018-11-30,890.41
2018-12-07,861.55
2018-12-14,848.65
2018-12-21,833.85
2018-12-28,910.81
2019-01-04,940.86
2019-01-11,940.08
2019-01-18,968.07
2019-01-25,945.44
2019-02-01,934.44
2019-02-08,911.365
2019-02-15,888.29
2019-02-22,847.75
2019-03-01,803.71
2019-03-08,766.92
2019-03-15,742.1
2019-03-22,727.88
2019-03-29,793.49
2019-04-05,792.25
2019-04-12,782.46
2019-04-19,761.74
2019-04-26,778
2019-05-03,767.44
2019-05-10,756.88
2019-05-17,726.23
2019-05-24,723.93
2019-05-31,782.12
2019-06-07,783.05
2019-06-14,779.12
2019-06-21,764.46
2019-06-28,829.7
2019-07-05,810.91
2019-07-12,817.41
2019-07-19,790.77
2019-07-26,788.93
2019-08-02,830.94
2019-08-09,822.09
2019-08-16,803.82
2019-08-23,774.62
2019-08-30,819.65
2019-09-06,795.05
2019-09-13,765.79
2019-09-20,734.09
2019-09-27,722.9
2019-10-04,719.435
2019-10-11,715.97
2019-10-18,746.63
2019-10-25,774.27
2019-11-01,847.11
2019-11-08,837.99
2019-11-15,797.78
2019-11-22,765.47
2019-11-29,819.63
2019-12-06,850.27
2019-12-13,880.44
2019-12-20,904.83
2019-12-27,958.57
2020-01-03,1022.72
2020-01-10,1002.58
2020-01-17,990.68
2020-01-24,981.19
2020-01-31,945.885
2020-02-07,945.885
2020-02-14,910.58
2020-02-21,887.72
2020-02-28,875.76
2020-03-06,871.16
2020-03-13,911.85
2020-03-20,898.05
2020-03-27,889.8
2020-04-03,890.37
2020-04-10,867.82
2020-04-17,829.29
2020-04-24,818.16
2020-05-01,852.27
2020-05-08,855.07
2020-05-15,854.08
2020-05-22,847.63
2020-05-29,920.38
2020-06-05,925.5
2020-06-12,1015.33
2020-06-19,988.82
2020-06-26,1001.33
2020-07-03,1055.13
2020-07-10,1033.58
2020-07-17,1035.61
2020-07-24,1022.03
2020-07-31,1103.47
2020-08-07,1107.39
2020-08-14,1167.91
2020-08-21,1183.7
2020-08-28,1263.26
2020-09-04,1320.8
2020-09-11,1355.04
2020-09-18,1409.57
2020-09-25,1421.75
2020-10-02,1443.54
2020-10-09,1438.22
2020-10-16,1448.87
2020-10-23,1469.03
2020-10-30,1529.99
2020-11-06,1664.56
2020-11-13,1857.33
2020-11-20,1938.32
2020-11-27,2048.27
2020-12-04,2129.26
2020-12-11,2311.71
2020-12-18,2411.82
2020-12-25,2641.87
2021-01-01,2783.03
2021-01-08,2870.34
2021-01-15,2885
2021-01-22,2868.95
2021-01-29,2861.69
2021-02-05,2884.61
2021-02-12,2825.75
2021-02-19,2875.93
2021-02-26,2775.29
2021-03-05,2721.94
2021-03-12,2637.53
2021-03-19,2583.87
2021-03-26,2570.68
2021-04-02,2585.42
2021-04-09,2652.12
2021-04-16,2833.42
2021-04-23,2979.76
2021-04-30,3100.74
2021-05-07,3095.16
2021-05-14,3343.34
2021-05-21,3432.5
2021-05-28,3495.76
2021-06-04,3613.07
2021-06-11,3703.93
2021-06-18,3748.36
2021-06-25,3785.4
2021-07-02,3905.14
2021-07-09,3932.35
2021-07-16,4054.42
2021-07-23,4100
2021-07-30,4196.24
2021-08-06,4225.86
2021-08-13,4281.53
2021-08-20,4340.18
2021-08-27,4385.62
2021-09-03,4502.65
2021-09-10,4568.16
2021-09-17,4622.51
2021-09-24,4643.79
2021-10-01,4614.1
2021-10-08,4647.6
2021-10-15,4588.07
2021-10-22,4583.39
2021-10-29,4567.28
2021-11-05,4535.92
2021-11-12,4554.04
2021-11-19,4555.21
2021-11-26,4601.97
2021-12-03,4727.06
2021-12-10,4810.98
2021-12-17,4894.62
2021-12-24,4956.02
2021-12-31,5046.66
2022-01-07,5109.6
2022-01-14,5094.36
2022-01-21,5053.12
2022-01-28,5010
2022-02-04,4995.465
2022-02-11,4980.93
2022-02-18,4946.01
2022-02-25,4818.47
2022-03-04,4746.98
2022-03-11,4625.06
2022-03-18,4540.31
2022-03-25,4434.07
2022-04-01,4348.71
2022-04-08,4263.66
2022-04-15,4228.65
2022-04-22,4195.98
2022-04-29,4177.3
2022-05-06,4163.74
2022-05-13,4147.83
2022-05-20,4162.69
2022-05-27,4175.35
2022-06-03,4208.01
2022-06-10,4233.31
2022-06-17,4221.96
2022-06-24,4216.13
2022-07-01,4203.27
2022-07-08,4143.87
2022-07-15,4074.7
2022-07-22,3996.77
2022-07-29,3887.5
2022-08-05,3739.72
2022-08-12,3562.67
2022-08-19,3429.83
2022-08-26,3154.26
2022-09-02,2847.62
2022-09-09,2562.12
2022-09-16,2312.65
2022-09-23,2072.04
2022-09-30,1922.95
2022-10-07,1868.475
2022-10-14,1814
2022-10-21,1778.69
2022-10-28,1697.65
2022-11-04,1579.21